u[148,112]: 20420.000000, v[148,112]: 20420.000000, p[148,112]: 20420.000000
u[149,112]: 20421.000000, v[149,112]: 20421.000000, p[149,112]: 20421.000000
u[150,112]: 20422.000000, v[150,112]: 20422.000000, p[150,112]: 20422.000000
u[151,112]: 20423.000000, v[151,112]: 20423.000000, p[151,112]: 20423.000000
u[152,112]: 20424.000000, v[152,112]: 20424.000000, p[152,112]: 20424.000000
u[153,112]: 20425.000000, v[153,112]: 20425.000000, p[153,112]: 20425.000000
u[154,112]: 20426.000000, v[154,112]: 20426.000000, p[154,112]: 20426.000000
u[155,112]: 20427.000000, v[155,112]: 20427.000000, p[155,112]: 20427.000000
u[156,112]: 20428.000000, v[156,112]: 20428.000000, p[156,112]: 20428.000000
u[157,112]: 20429.000000, v[157,112]: 20429.000000, p[157,112]: 20429.000000
u[158,112]: 20430.000000, v[158,112]: 20430.000000, p[158,112]: 20430.000000
u[159,112]: 20431.000000, v[159,112]: 20431.000000, p[159,112]: 20431.000000
u[144,113]: 20597.000000, v[144,113]: 20597.000000, p[144,113]: 20597.000000
u[145,113]: 20598.000000, v[145,113]: 20598.000000, p[145,113]: 20598.000000
u[146,113]: 20599.000000, v[146,113]: 20599.000000, p[146,113]: 20599.000000
u[147,113]: 20600.000000, v[147,113]: 20600.000000, p[147,113]: 20600.000000
u[148,113]: 20601.000000, v[148,113]: 20601.000000, p[148,113]: 20601.000000
u[149,113]: 20602.000000, v[149,113]: 20602.000000, p[149,113]: 20602.000000
u[150,113]: 20603.000000, v[150,113]: 20603.000000, p[150,113]: 20603.000000
u[151,113]: 20604.000000, v[151,113]: 20604.000000, p[151,113]: 20604.000000
u[152,113]: 20605.000000, v[152,113]: 20605.000000, p[152,113]: 20605.000000
u[153,113]: 20606.000000, v[153,113]: 20606.000000, p[153,113]: 20606.000000
u[154,113]: 20607.000000, v[154,113]: 20607.000000, p[154,113]: 20607.000000
u[155,113]: 20608.000000, v[155,113]: 20608.000000, p[155,113]: 20608.000000
u[156,113]: 20609.000000, v[156,113]: 20609.000000, p[156,113]: 20609.000000
u[157,113]: 20610.000000, v[157,113]: 20610.000000, p[157,113]: 20610.000000
u[158,113]: 20611.000000, v[158,113]: 20611.000000, p[158,113]: 20611.000000
u[159,113]: 20612.000000, v[159,113]: 20612.000000, p[159,113]: 20612.000000
u[144,124]: 22588.000000, v[144,124]: 22588.000000, p[144,124]: 22588.000000
u[145,124]: 22589.000000, v[145,124]: 22589.000000, p[145,124]: 22589.000000
u[146,124]: 22590.000000, v[146,124]: 22590.000000, p[146,124]: 22590.000000
u[147,124]: 22591.000000, v[147,124]: 22591.000000, p[147,124]: 22591.000000
u[148,124]: 22592.000000, v[148,124]: 22592.000000, p[148,124]: 22592.000000
u[149,124]: 22593.000000, v[149,124]: 22593.000000, p[149,124]: 22593.000000
u[150,124]: 22594.000000, v[150,124]: 22594.000000, p[150,124]: 22594.000000
u[151,124]: 22595.000000, v[151,124]: 22595.000000, p[151,124]: 22595.000000
u[152,124]: 22596.000000, v[152,124]: 22596.000000, p[152,124]: 22596.000000
u[153,124]: 22597.000000, v[153,124]: 22597.000000, p[153,124]: 22597.000000
u[154,124]: 22598.000000, v[154,124]: 22598.000000, p[154,124]: 22598.000000
u[155,124]: 22599.000000, v[155,124]: 22599.000000, p[155,124]: 22599.000000
u[156,124]: 22600.000000, v[156,124]: 22600.000000, p[156,124]: 22600.000000
u[157,124]: 22601.000000, v[157,124]: 22601.000000, p[157,124]: 22601.000000
u[158,124]: 22602.000000, v[158,124]: 22602.000000, p[158,124]: 22602.000000
u[159,124]: 22603.000000, v[159,124]: 22603.000000, p[159,124]: 22603.000000
u[144,125]: 22769.000000, v[144,125]: 22769.000000, p[144,125]: 22769.000000
u[145,125]: 22770.000000, v[145,125]: 22770.000000, p[145,125]: 22770.000000
u[146,125]: 22771.000000, v[146,125]: 22771.000000, p[146,125]: 22771.000000
u[147,125]: 22772.000000, v[147,125]: 22772.000000, p[147,125]: 22772.000000
u[148,125]: 22773.000000, v[148,125]: 22773.000000, p[148,125]: 22773.000000
u[149,125]: 22774.000000, v[149,125]: 22774.000000, p[149,125]: 22774.000000
u[150,125]: 22775.000000, v[150,125]: 22775.000000, p[150,125]: 22775.000000
u[151,125]: 22776.000000, v[151,125]: 22776.000000, p[151,125]: 22776.000000
