TITLE = "Post Processing Tecplot"
VARIABLES = "X","Y","T"
ZONE T="BIG ZONE", I=52, J=52, DATAPACKING=POINT
0.290000,0.490000,68.659838
0.310000,0.490000,66.847176
0.330000,0.490000,65.067501
0.350000,0.490000,63.318157
0.370000,0.490000,61.596129
0.390000,0.490000,59.898094
0.410000,0.490000,58.220469
0.430000,0.490000,56.559451
0.450000,0.490000,54.911062
0.470000,0.490000,53.271182
0.490000,0.490000,51.635591
0.510000,0.490000,50.000000
0.530000,0.490000,48.360086
0.550000,0.490000,46.711527
0.570000,0.490000,45.050034
0.590000,0.490000,43.371390
0.610000,0.490000,41.671488
0.630000,0.490000,39.946374
0.650000,0.490000,38.192290
0.670000,0.490000,36.405724
0.690000,0.490000,34.583466
0.710000,0.490000,32.722663
0.730000,0.490000,30.820885
0.750000,0.490000,28.876180
0.770000,0.490000,26.887146
0.790000,0.490000,24.852993
0.810000,0.490000,22.773597
0.830000,0.490000,20.649557
0.850000,0.490000,18.482234
0.870000,0.490000,16.273774
0.890000,0.490000,14.027115
0.910000,0.490000,11.745974
0.930000,0.490000,9.434801
0.950000,0.490000,7.098714
0.970000,0.490000,4.743403
0.990000,0.490000,2.375012
1.010000,0.490000,0.000000
-0.010000,0.510000,100.000000
0.010000,0.510000,97.624988
0.030000,0.510000,95.256597
0.050000,0.510000,92.901286
0.070000,0.510000,90.565199
0.090000,0.510000,88.254026
0.110000,0.510000,85.972885
0.130000,0.510000,83.726226
0.150000,0.510000,81.517766
0.170000,0.510000,79.350443
0.190000,0.510000,77.226403
0.210000,0.510000,75.147007
0.230000,0.510000,73.112854
0.250000,0.510000,71.123820
0.270000,0.510000,69.179115
0.290000,0.510000,67.277337
0.310000,0.510000,65.416534
0.330000,0.510000,63.594276
0.350000,0.510000,61.807710
0.370000,0.510000,60.053626
0.390000,0.510000,58.328512
0.410000,0.510000,56.628610
0.430000,0.510000,54.949966
0.450000,0.510000,53.288473
0.470000,0.510000,51.639914
0.490000,0.510000,50.000000
0.510000,0.510000,48.364409
0.530000,0.510000,46.728818
0.550000,0.510000,45.088938
0.570000,0.510000,43.440549
0.590000,0.510000,41.779531
0.610000,0.510000,40.101906
0.630000,0.510000,38.403871
0.650000,0.510000,36.681843
0.670000,0.510000,34.932499
0.690000,0.510000,33.152824
0.710000,0.510000,31.340162
0.730000,0.510000,29.492264
0.750000,0.510000,27.607342
0.770000,0.510000,25.684120
0.790000,0.510000,23.721882
0.810000,0.510000,21.720522
0.830000,0.510000,19.680573
0.850000,0.510000,17.603243
0.870000,0.510000,15.490423
0.890000,0.510000,13.344688
0.910000,0.510000,11.169277
0.930000,0.510000,8.968051
0.950000,0.510000,6.745432
0.970000,0.510000,4.506321
0.990000,0.510000,2.255997
1.010000,0.510000,0.000000
-0.010000,0.530000,100.000000
0.010000,0.530000,97.499354
0.030000,0.530000,95.006436
0.050000,0.530000,92.528780
0.070000,0.530000,90.073534
