TITLE = "Post Processing Tecplot"
VARIABLES = "X","Y","T"
ZONE T="BIG ZONE", I=181, J=129, DATAPACKING=POINT
9.277037,3.573664,3.573664
9.456564,3.573664,3.573664
9.637128,3.573664,3.573664
9.818390,3.573664,3.573664
10.000000,3.573664,3.573664
0.000000,3.609086,3.609086
0.548545,3.609086,3.609086
1.022247,3.609086,3.609086
1.382204,3.609086,3.609086
1.630033,3.609086,3.609086
1.789296,3.609086,3.609086
1.887153,3.609086,3.609086
1.945632,3.609086,3.609086
1.980000,3.609086,3.609086
2.000000,3.609086,3.609086
2.021739,3.609086,3.609086
2.043478,3.609086,3.609086
2.065217,3.609086,3.609086
2.086957,3.609086,3.609086
2.108696,3.609086,3.609086
2.130435,3.609086,3.609086
2.152174,3.609086,3.609086
2.173913,3.609086,3.609086
2.195652,3.609086,3.609086
2.217391,3.609086,3.609086
2.239130,3.609086,3.609086
2.260870,3.609086,3.609086
2.282609,3.609086,3.609086
2.304348,3.609086,3.609086
2.326087,3.609086,3.609086
2.347826,3.609086,3.609086
2.369565,3.609086,3.609086
2.391304,3.609086,3.609086
2.413043,3.609086,3.609086
2.434783,3.609086,3.609086
2.456522,3.609086,3.609086
2.478261,3.609086,3.609086
2.500000,3.609086,3.609086
2.521739,3.609086,3.609086
2.543478,3.609086,3.609086
2.565217,3.609086,3.609086
2.586957,3.609086,3.609086
2.608696,3.609086,3.609086
2.630435,3.609086,3.609086
2.652174,3.609086,3.609086
2.673913,3.609086,3.609086
2.695652,3.609086,3.609086
2.717391,3.609086,3.609086
2.739130,3.609086,3.609086
2.760870,3.609086,3.609086
2.782609,3.609086,3.609086
2.804348,3.609086,3.609086
2.826087,3.609086,3.609086
2.847826,3.609086,3.609086
2.869565,3.609086,3.609086
2.891304,3.609086,3.609086
2.913043,3.609086,3.609086
2.934783,3.609086,3.609086
2.956522,3.609086,3.609086
2.978261,3.609086,3.609086
3.000000,3.609086,3.609086
3.021739,3.609086,3.609086
3.043478,3.609086,3.609086
3.065217,3.609086,3.609086
3.086957,3.609086,3.609086
3.108696,3.609086,3.609086
3.130435,3.609086,3.609086
3.152174,3.609086,3.609086
3.173913,3.609086,3.609086
3.195652,3.609086,3.609086
3.217391,3.609086,3.609086
3.239130,3.609086,3.609086
3.260870,3.609086,3.609086
3.282609,3.609086,3.609086
3.304348,3.609086,3.609086
3.326087,3.609086,3.609086
3.347826,3.609086,3.609086
3.369565,3.609086,3.609086
3.391304,3.609086,3.609086
3.413043,3.609086,3.609086
3.434783,3.609086,3.609086
3.456522,3.609086,3.609086
3.478261,3.609086,3.609086
3.500000,3.609086,3.609086
3.521739,3.609086,3.609086
3.543478,3.609086,3.609086
3.565217,3.609086,3.609086
3.586957,3.609086,3.609086
3.608696,3.609086,3.609086
3.630435,3.609086,3.609086
3.652174,3.609086,3.609086
3.673913,3.609086,3.609086
3.695652,3.609086,3.609086
3.717391,3.609086,3.609086
3.739130,3.609086,3.609086
3.760870,3.609086,3.609086
3.782609,3.609086,3.609086
3.804348,3.609086,3.609086
3.826087,3.609086,3.609086
3.847826,3.609086,3.609086
3.869565,3.609086,3.609086
3.891304,3.609086,3.609086
3.913043,3.609086,3.609086
3.934783,3.609086,3.609086
3.956522,3.609086,3.609086
3.978261,3.609086,3.609086
4.000000,3.609086,3.609086
4.021739,3.609086,3.609086
4.043478,3.609086,3.609086
4.065217,3.609086,3.609086
4.086957,3.609086,3.609086
4.108696,3.609086,3.609086
4.130435,3.609086,3.609086
4.152174,3.609086,3.609086
4.173913,3.609086,3.609086
4.195652,3.609086,3.609086
4.217391,3.609086,3.609086
4.239130,3.609086,3.609086
4.260870,3.609086,3.609086
4.282609,3.609086,3.609086
4.304348,3.609086,3.609086
4.326087,3.609086,3.609086
4.347826,3.609086,3.609086
4.369565,3.609086,3.609086
4.391304,3.609086,3.609086
4.413043,3.609086,3.609086
4.434783,3.609086,3.609086
